playerName,agent
Cryocells,"['brimstone', 'astra', 'jett']"
eeiu,"['fade', 'sova']"
Asuna,"['raze', 'gekko', 'kayo']"
Boostio,"['gekko', 'killjoy', 'omen']"
bunt,"['omen', 'viper', 'brimstone']"
monk,"['breach', 'killjoy', 'harbor']"
deLb,"['raze', 'reyna', 'killjoy']"
Spitfires,"['cypher', 'jett', 'killjoy']"
Elite,"['viper', 'killjoy', 'cypher']"
Jamppi,"['viper', 'kayo', 'killjoy']"
reazy,"['skye', 'sova', 'gekko']"
sScary,"['viper', 'omen', 'brimstone']"
Retla,"['viper', 'cypher', 'killjoy']"
Zest,"['fade', 'gekko', 'skye']"
Deryeon,"['harbor', 'raze', 'killjoy']"
crazyguy,"['sova', 'breach', 'fade']"
yay,"['neon', 'skye', 'raze']"
Egoist,"['skye', 'killjoy']"
Flex1n,"['omen', 'viper', 'brimstone']"
Knight,"['killjoy', 'kayo', 'breach']"
nephh,"['fade', 'kayo', 'sova']"
Yosemite,"['viper', 'killjoy', 'cypher']"
B3ar,"['omen', 'brimstone', 'viper']"
Levius,"['fade', 'skye', 'killjoy']"
OXY,"['yoru', 'raze', 'jett']"
wippie,"['viper', 'killjoy']"
Xeppaa,"['raze', 'skye', 'fade']"
moose,"['killjoy', 'cypher']"
runi,"['sova', 'viper', 'breach']"
vanity,"['skye', 'viper', 'gekko']"
nizhaoTZH,"['viper', 'omen', 'brimstone']"
Shion7,"['harbor', 'gekko', 'sova']"
vo0kashu,"['killjoy', 'cypher', 'omen']"
Dingwei,"['sova', 'skye', 'viper']"
TvirusLuke,"['jett', 'raze', 'neon']"
Nicc,"['gekko', 'breach', 'skye']"
Smoggy,"['kayo', 'raze', 'breach']"
CHICHOO,"['cypher', 'brimstone', 'viper']"
ZmjjKK,"['raze', 'kayo', 'jett']"
S1Mon,"['breach', 'kayo', 'fade']"
nobody,"['sova', 'skye', 'gekko']"
QutionerX,"['raze', 'jett', 'neon']"
Brave,"['brimstone', 'omen', 'viper']"
Derrek,"['fade', 'gekko', 'sova']"
supamen,"['omen', 'viper', 'clove']"
NaturE,"['breach', 'kayo', 'viper']"
Apoth,"['cypher', 'killjoy', 'harbor']"
Leo,"['fade', 'sova', 'skye']"
Chronicle,"['viper', 'kayo', 'breach']"
Alfajer,"['killjoy', 'cypher', 'viper']"
hiro,"['sova', 'gekko', 'fade']"
Boaster,"['omen', 'harbor', 'brimstone']"
Autumn,"['jett', 'raze', 'phoenix']"
AAAAY,"['gekko', 'sova', 'fade']"
BerLIN,"['omen', 'harbor', 'astra']"
Life,"['reyna', 'chamber', 'jett']"
cNed,"['chamber', 'raze', 'jett']"
yetujey,"['viper', 'phoenix', 'cypher']"
MrFaliN,"['skye', 'sova', 'omen']"
qRaxs,"['raze', 'fade', 'gekko']"
AtaKaptan,"['omen', 'viper', 'breach']"
leaf,"['jett', 'raze', 'yoru']"
valyn,"['brimstone', 'omen', 'harbor']"
trent,"['viper', 'sova', 'fade']"
JonahP,"['sova', 'kayo', 'breach']"
jawgemo,"['raze', 'deadlock', 'jett']"
icy,"['yoru', 'gekko', 'raze']"
blaZek1ng,"['fade', 'sova', 'gekko']"
Polvi,"['raze', 'jett', 'gekko']"
Benkai,"['viper', 'killjoy', 'cypher']"
Russ,"['gekko', 'kayo', 'breach']"
Lightningfast,"['omen', 'viper', 'sage']"
nukkye,"['cypher', 'sage', 'killjoy']"
purp0,"['jett', 'raze', 'yoru']"
Cloud,"['breach', 'fade', 'skye']"
Fit1nho,"['raze', 'yoru', 'breach']"
hoody,"['skye', 'breach', 'viper']"
Redgar,"['omen', 'cypher', 'kayo']"
Famsii,"['omen', 'raze']"
