playerName,team,rating,region,playerCategory,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,agent_1,agent_2,agent_3
0,38,0.79,Americas,vct-challengers,166.5,0.83,47%,107.7,0.63,0.11,0.05,0.13,38%,33%,killjoy,,
3,21,0.64,EMEA,vct-game-changer,226.0,0.81,57%,136.9,0.81,0.10,0.19,0.29,44%,,clove,,
123,KBLD,01.08,Pacific,vct-challengers,237.6,01.07,67%,162.7,0.83,0.16,0.16,0.17,27%,26%,raze,jett,neon
152,C4C,0.95,Americas,vct-game-changer,194.8,0.76,59%,129.6,0.62,0.25,0.07,0.11,15%,6%,breach,kayo,raze
1001,ASAP,0.97,Pacific,vct-game-changer,215.0,0.95,71%,141.9,0.76,0.39,0.05,0.07,26%,12%,omen,brimstone,clove
69420,33,0.94,Americas,vct-challengers,174.5,0.71,64%,110.2,0.61,0.33,0.03,0.03,32%,,omen,,
5555555,LL,0.77,Pacific,vct-game-changer,146.0,0.76,62%,105.6,0.49,0.10,0.03,0.05,25%,75%,killjoy,,
0megara,34,0.40,Americas,vct-game-changer,115.5,0.46,65%,74.5,0.38,0.12,0.06,0.12,17%,,breach,sova,
0RE0,36,0.63,Pacific,vct-challengers,138.0,0.55,44%,102.5,0.47,0.06,0.03,0.08,19%,11%,sova,gekko,
0wenM,Subw,0.69,EMEA,vct-challengers,129.5,0.55,75%,83.5,0.44,0.47,0.03,0.03,26%,,skye,breach,
13lueee,71,0.99,Pacific,vct-challengers,182.0,0.94,72%,123.6,0.66,0.28,0.06,0.03,32%,21%,brimstone,omen,
16Ch0ps,MKG,1.22,Pacific,vct-challengers,267.0,1.25,70%,173.9,0.94,0.23,0.20,0.14,31%,25%,viper,raze,sage
1ce2k,325,0.94,EMEA,vct-challengers,185.3,0.98,64%,130.1,0.67,0.09,0.08,0.08,28%,4%,killjoy,sova,
1Frog1,The,0.97,Americas,vct-challengers,241.3,1.14,67%,160.3,0.87,0.12,0.21,0.17,39%,,jett,,
1hp,ALG.GC,,China,vct-game-changer,144.0,0.80,,,0.50,0.35,,,,,gekko,sova,
1mp2k,(+1),1.12,Pacific,vct-challengers,237.6,1.14,73%,157.1,0.86,0.17,0.10,0.04,31%,6%,killjoy,gekko,cypher
1stRealityTwice,GD,1.17,Pacific,vct-challengers,258.5,1.17,76%,159.2,0.92,0.26,0.08,0.08,40%,38%,killjoy,cypher,
1TaPGoD,ACE,0.56,Pacific,vct-challengers,157.3,0.54,55%,108.3,0.49,0.25,0.11,0.25,25%,33%,raze,gekko,
21May,71,1.12,Pacific,vct-challengers,204.3,01.02,66%,144.1,0.69,0.34,0.10,0.07,21%,,viper,kayo,
2ge,TS,1.10,Pacific,vct-international,198.3,01.08,74%,128.4,0.70,0.36,0.09,0.07,30%,23%,omen,viper,
3DWN,SaD,0.90,Americas,vct-game-changer,162.4,0.90,62%,116.6,0.60,0.12,0.04,0.07,35%,23%,cypher,killjoy,
5CM,XG,,China,vct-challengers,189.7,0.64,,126.4,0.59,0.26,0.18,0.16,,,neon,,
69Shinobu,GB,0.79,Pacific,vct-game-changer,160.0,0.64,66%,106.4,0.53,0.41,0.04,0.03,20%,10%,reyna,brimstone,clove
6ankai,MT,0.92,EMEA,vct-challengers,194.7,0.94,67%,130.9,0.72,0.10,0.20,0.16,28%,17%,jett,,
6dre,Yonk,0.72,Americas,vct-challengers,162.5,0.61,62%,117.3,0.56,0.23,0.03,0.05,27%,,sova,,
