average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
230.1,1.20,73%,148.3,0.83,0.23,0.14,0.10,24%,19%
189.4,1.10,76%,128.6,0.68,0.31,0.05,0.04,30%,11%
214.3,1.00,74%,136.9,0.72,0.36,0.13,0.14,19%,16%
179.1,0.86,69%,121.9,0.63,0.23,0.09,0.12,24%,16%
186.5,0.93,,108.8,0.68,0.32,0.07,0.07,,
178.7,0.79,,117.1,0.62,0.35,0.07,0.06,,
195.7,1.00,,124.2,0.71,0.18,0.06,0.06,,
202.0,0.91,,128.5,0.71,0.15,0.22,0.20,,
199.8,1.13,70%,133.7,0.73,0.19,0.08,0.06,43%,14%
184.2,0.85,71%,120.1,0.63,0.29,0.08,0.12,31%,14%
156.7,0.76,67%,108.6,0.53,0.33,0.04,0.05,29%,16%
214.0,1.09,75%,141.2,0.75,0.36,0.08,0.06,27%,14%
169.7,0.92,70%,115.4,0.61,0.19,0.05,0.06,26%,14%
167.3,0.83,68%,108.0,0.58,0.29,0.07,0.08,28%,13%
186.8,0.86,70%,123.7,0.65,0.20,0.15,0.14,29%,8%
177.9,0.74,65%,118.7,0.56,0.31,0.07,0.12,23%,11%
194.8,0.85,68%,129.6,0.66,0.16,0.17,0.21,25%,23%
170.0,0.75,72%,108.4,0.57,0.21,0.09,0.08,24%,14%
192.1,0.98,73%,120.6,0.67,0.38,0.06,0.09,36%,15%
187.8,0.95,64%,119.5,0.66,0.35,0.04,0.06,29%,8%
190.5,0.88,58%,119.7,0.66,0.40,0.08,0.09,20%,
206.5,1.00,55%,122.2,0.72,0.27,0.09,0.09,25%,
127.1,0.68,,,0.44,0.48,,,,
149.9,0.75,,,0.54,0.24,,,,
249.8,1.07,70%,162.3,0.87,0.19,0.22,0.18,29%,15%
179.0,0.98,73%,119.7,0.60,0.22,0.07,0.07,21%,7%
187.8,0.87,76%,125.2,0.63,0.45,0.07,0.09,26%,22%
172.2,0.98,69%,117.9,0.62,0.15,0.08,0.06,24%,16%
174.8,0.91,71%,120.7,0.62,0.27,0.06,0.06,34%,12%
177.8,0.86,71%,118.6,0.62,0.35,0.08,0.11,22%,14%
181.0,0.93,,119.3,0.65,0.34,0.06,0.08,,
180.7,0.84,,118.0,0.62,0.28,0.05,0.12,,
233.3,1.16,,167.4,0.84,0.24,0.10,0.07,,
162.6,0.76,,,0.55,0.30,,,,
215.2,0.88,,152.6,0.71,0.20,0.21,0.17,,
181.8,0.95,,114.5,0.65,0.39,0.05,0.09,,
207.1,1.16,75%,136.0,0.74,0.36,0.08,0.07,28%,14%
201.6,1.11,73%,134.6,0.73,0.26,0.08,0.06,29%,11%
260.9,1.20,69%,159.4,0.91,0.22,0.21,0.18,24%,16%
