playerName,team,rating,region,playerStatistics,agent,playerCategory
Kouf,AMB,1.53,Americas,"{'average_combat_score': '298.0', 'kill_deaths': '1.48', 'kill_assists_survived_traded': '74%', 'average_damage_per_round': '185.9', 'kills_per_round': '1.03', 'assists_per_round': '0.36', 'first_kills_per_round': '0.13', 'first_deaths_per_round': '0.03', 'headshot_percentage': '35%', 'clutch_success_percentage': '15%'}","['reyna', 'kayo']",vct-challengers
nelu,63,1.31,Americas,"{'average_combat_score': '266.7', 'kill_deaths': '1.15', 'kill_assists_survived_traded': '75%', 'average_damage_per_round': '182.0', 'kills_per_round': '0.86', 'assists_per_round': '0.40', 'first_kills_per_round': '0.06', 'first_deaths_per_round': '0.06', 'headshot_percentage': '30%', 'clutch_success_percentage': '21%'}","['viper', 'sova', 'breach']",vct-challengers
welyy,Blue,1.31,Americas,"{'average_combat_score': '240.9', 'kill_deaths': '1.26', 'kill_assists_survived_traded': '74%', 'average_damage_per_round': '164.1', 'kills_per_round': '0.82', 'assists_per_round': '0.39', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.04', 'headshot_percentage': '27%', 'clutch_success_percentage': '10%'}","['sova', 'fade', 'breach']",vct-challengers
ShoT_UP,TOR,1.29,Americas,"{'average_combat_score': '240.2', 'kill_deaths': '1.25', 'kill_assists_survived_traded': '78%', 'average_damage_per_round': '158.6', 'kills_per_round': '0.82', 'assists_per_round': '0.40', 'first_kills_per_round': '0.06', 'first_deaths_per_round': '0.06', 'headshot_percentage': '25%', 'clutch_success_percentage': '25%'}","['skye', 'astra', 'killjoy']",vct-challengers
mada,NRG,1.26,Americas,"{'average_combat_score': '268.8', 'kill_deaths': '1.34', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '172.9', 'kills_per_round': '0.93', 'assists_per_round': '0.19', 'first_kills_per_round': '0.24', 'first_deaths_per_round': '0.13', 'headshot_percentage': '26%', 'clutch_success_percentage': '11%'}","['raze', 'jett', 'reyna']",vct-challengers
MattyIce,Equi,1.26,Americas,"{'average_combat_score': '256.5', 'kill_deaths': '1.27', 'kill_assists_survived_traded': '58%', 'average_damage_per_round': '166.1', 'kills_per_round': '1.00', 'assists_per_round': '0.06', 'first_kills_per_round': '0.03', 'first_deaths_per_round': '0.18', 'headshot_percentage': '42%', 'clutch_success_percentage': '17%'}","['chamber', 'cypher']",vct-challengers
PapaSmurf,VEXO,1.24,Americas,"{'average_combat_score': '247.3', 'kill_deaths': '1.19', 'kill_assists_survived_traded': '81%', 'average_damage_per_round': '160.0', 'kills_per_round': '0.89', 'assists_per_round': '0.42', 'first_kills_per_round': '0.06', 'first_deaths_per_round': '0.06', 'headshot_percentage': '22%', 'clutch_success_percentage': '10%'}","['viper', 'omen']",vct-challengers
sonofcar,LS,1.24,Americas,"{'average_combat_score': '257.6', 'kill_deaths': '1.32', 'kill_assists_survived_traded': '75%', 'average_damage_per_round': '171.0', 'kills_per_round': '0.94', 'assists_per_round': '0.20', 'first_kills_per_round': '0.24', 'first_deaths_per_round': '0.13', 'headshot_percentage': '26%', 'clutch_success_percentage': '24%'}","['chamber', 'raze', 'jett']",vct-challengers
Sueiy,DXG,1.23,Americas,"{'average_combat_score': '219.5', 'kill_deaths': '1.13', 'kill_assists_survived_traded': '74%', 'average_damage_per_round': '144.6', 'kills_per_round': '0.86', 'assists_per_round': '0.45', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.10', 'headshot_percentage': '34%', 'clutch_success_percentage': '30%'}","['omen', 'astra']",vct-challengers
florescent,SR,1.23,Americas,"{'average_combat_score': '267.9', 'kill_deaths': '1.23', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '178.2', 'kills_per_round': '0.92', 'assists_per_round': '0.22', 'first_kills_per_round': '0.17', 'first_deaths_per_round': '0.14', 'headshot_percentage': '26%', 'clutch_success_percentage': '15%'}","['raze', 'jett']",vct-challengers
kajsiab,43,1.22,Americas,"{'average_combat_score': '230.0', 'kill_deaths': '1.00', 'kill_assists_survived_traded': '67%', 'average_damage_per_round': '166.8', 'kills_per_round': '0.72', 'assists_per_round': '0.26', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.05', 'headshot_percentage': '42%', 'clutch_success_percentage': ''}",['sova'],vct-challengers
practo,Non-,1.22,Americas,"{'average_combat_score': '246.3', 'kill_deaths': '1.17', 'kill_assists_survived_traded': '69%', 'average_damage_per_round': '166.7', 'kills_per_round': '0.88', 'assists_per_round': '0.14', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.05', 'headshot_percentage': '35%', 'clutch_success_percentage': '13%'}","['sova', 'viper']",vct-challengers
Suhnny,FLUX,1.22,Americas,"{'average_combat_score': '253.0', 'kill_deaths': '1.33', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '157.9', 'kills_per_round': '0.95', 'assists_per_round': '0.21', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.07', 'headshot_percentage': '28%', 'clutch_success_percentage': '20%'}","['gekko', 'fade']",vct-challengers
Casual,Scrub,1.22,Americas,"{'average_combat_score': '283.0', 'kill_deaths': '1.36', 'kill_assists_survived_traded': '65%', 'average_damage_per_round': '175.0', 'kills_per_round': '1.05', 'assists_per_round': '0.12', 'first_kills_per_round': '0.05', 'first_deaths_per_round': '0.09', 'headshot_percentage': '39%', 'clutch_success_percentage': '17%'}","['astra', 'omen']",vct-challengers
Huso,FH,1.21,Americas,"{'average_combat_score': '233.8', 'kill_deaths': '1.18', 'kill_assists_survived_traded': '77%', 'average_damage_per_round': '156.2', 'kills_per_round': '0.82', 'assists_per_round': '0.21', 'first_kills_per_round': '0.16', 'first_deaths_per_round': '0.09', 'headshot_percentage': '21%', 'clutch_success_percentage': '24%'}","['raze', 'jett']",vct-challengers
moose,C9,1.21,Americas,"{'average_combat_score': '212.4', 'kill_deaths': '1.43', 'kill_assists_survived_traded': '77%', 'average_damage_per_round': '140.8', 'kills_per_round': '0.77', 'assists_per_round': '0.25', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.05', 'headshot_percentage': '22%', 'clutch_success_percentage': '15%'}","['cypher', 'killjoy']",vct-challengers
Android,40,1.20,Americas,"{'average_combat_score': '259.0', 'kill_deaths': '1.19', 'kill_assists_survived_traded': '60%', 'average_damage_per_round': '173.5', 'kills_per_round': '0.95', 'assists_per_round': '0.18', 'first_kills_per_round': '0.15', 'first_deaths_per_round': '0.05', 'headshot_percentage': '25%', 'clutch_success_percentage': '33%'}",['viper'],vct-challengers
