playerName,team,rating,region,playerStatistics,agent,playerCategory
Cryocells,100T,1.14,Americas,"{'average_combat_score': '230.1', 'kill_deaths': '1.20', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '148.3', 'kills_per_round': '0.83', 'assists_per_round': '0.23', 'first_kills_per_round': '0.14', 'first_deaths_per_round': '0.10', 'headshot_percentage': '24%', 'clutch_success_percentage': '19%'}","['brimstone', 'astra', 'jett']",vct-international
zekken,SEN,1.13,Americas,"{'average_combat_score': '255.3', 'kill_deaths': '1.19', 'kill_assists_survived_traded': '72%', 'average_damage_per_round': '163.9', 'kills_per_round': '0.88', 'assists_per_round': '0.22', 'first_kills_per_round': '0.22', 'first_deaths_per_round': '0.18', 'headshot_percentage': '24%', 'clutch_success_percentage': '17%'}","['raze', 'jett', 'neon']",vct-international
s0m,NRG,1.12,Americas,"{'average_combat_score': '224.7', 'kill_deaths': '1.13', 'kill_assists_survived_traded': '78%', 'average_damage_per_round': '143.6', 'kills_per_round': '0.77', 'assists_per_round': '0.45', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.07', 'headshot_percentage': '27%', 'clutch_success_percentage': '19%'}","['clove', 'omen', 'brimstone']",vct-international
eeiu,100T,1.11,Americas,"{'average_combat_score': '189.4', 'kill_deaths': '1.10', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '128.6', 'kills_per_round': '0.68', 'assists_per_round': '0.31', 'first_kills_per_round': '0.05', 'first_deaths_per_round': '0.04', 'headshot_percentage': '30%', 'clutch_success_percentage': '11%'}","['fade', 'sova']",vct-international
TenZ,SEN,1.10,Americas,"{'average_combat_score': '212.2', 'kill_deaths': '1.09', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '136.4', 'kills_per_round': '0.74', 'assists_per_round': '0.46', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.09', 'headshot_percentage': '27%', 'clutch_success_percentage': '13%'}","['omen', 'gekko', 'kayo']",vct-international
bang,SEN,1.07,Americas,"{'average_combat_score': '203.4', 'kill_deaths': '1.09', 'kill_assists_survived_traded': '75%', 'average_damage_per_round': '129.7', 'kills_per_round': '0.71', 'assists_per_round': '0.31', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.09', 'headshot_percentage': '32%', 'clutch_success_percentage': '13%'}","['viper', 'omen']",vct-international
Derrek,EG,1.05,Americas,"{'average_combat_score': '193.9', 'kill_deaths': '1.02', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '130.0', 'kills_per_round': '0.70', 'assists_per_round': '0.28', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.04', 'headshot_percentage': '35%', 'clutch_success_percentage': '14%'}","['fade', 'gekko', 'sova']",vct-international
OXY,C9,1.05,Americas,"{'average_combat_score': '249.8', 'kill_deaths': '1.07', 'kill_assists_survived_traded': '70%', 'average_damage_per_round': '162.3', 'kills_per_round': '0.87', 'assists_per_round': '0.19', 'first_kills_per_round': '0.22', 'first_deaths_per_round': '0.18', 'headshot_percentage': '29%', 'clutch_success_percentage': '15%'}","['yoru', 'raze', 'jett']",vct-international
leaf,G2,1.05,Americas,"{'average_combat_score': '217.6', 'kill_deaths': '1.06', 'kill_assists_survived_traded': '70%', 'average_damage_per_round': '146.2', 'kills_per_round': '0.76', 'assists_per_round': '0.22', 'first_kills_per_round': '0.12', 'first_deaths_per_round': '0.12', 'headshot_percentage': '23%', 'clutch_success_percentage': '18%'}","['jett', 'raze', 'yoru']",vct-international
valyn,G2,1.04,Americas,"{'average_combat_score': '194.6', 'kill_deaths': '1.01', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '123.5', 'kills_per_round': '0.70', 'assists_per_round': '0.35', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.08', 'headshot_percentage': '24%', 'clutch_success_percentage': '19%'}","['brimstone', 'omen', 'harbor']",vct-international
