playerName,team,rating,region,playerStatistics,agent,playerCategory
florescent,SR,1.45,Americas,"{'average_combat_score': '306.6', 'kill_deaths': '1.69', 'kill_assists_survived_traded': '78%', 'average_damage_per_round': '196.0', 'kills_per_round': '1.09', 'assists_per_round': '0.21', 'first_kills_per_round': '0.21', 'first_deaths_per_round': '0.12', 'headshot_percentage': '26%', 'clutch_success_percentage': '16%'}","['raze', 'jett', 'reyna']",vct-game-changer
LunaFox,KS,1.35,Americas,"{'average_combat_score': '260.3', 'kill_deaths': '1.23', 'kill_assists_survived_traded': '84%', 'average_damage_per_round': '183.9', 'kills_per_round': '0.86', 'assists_per_round': '0.59', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.06', 'headshot_percentage': '30%', 'clutch_success_percentage': '15%'}","['skye', 'gekko', 'breach']",vct-game-changer
KP,RF.GC,1.33,Americas,"{'average_combat_score': '254.5', 'kill_deaths': '1.47', 'kill_assists_survived_traded': '77%', 'average_damage_per_round': '168.2', 'kills_per_round': '0.93', 'assists_per_round': '0.29', 'first_kills_per_round': '0.11', 'first_deaths_per_round': '0.15', 'headshot_percentage': '25%', 'clutch_success_percentage': '17%'}","['viper', 'jett', 'breach']",vct-game-changer
may,EV,1.32,Americas,"{'average_combat_score': '261.8', 'kill_deaths': '1.22', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '167.4', 'kills_per_round': '0.90', 'assists_per_round': '0.30', 'first_kills_per_round': '0.12', 'first_deaths_per_round': '0.11', 'headshot_percentage': '35%', 'clutch_success_percentage': '20%'}","['viper', 'omen']",vct-game-changer
flow3r,38,1.24,Americas,"{'average_combat_score': '282.0', 'kill_deaths': '1.23', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '169.2', 'kills_per_round': '1.00', 'assists_per_round': '0.21', 'first_kills_per_round': '0.13', 'first_deaths_per_round': '0.08', 'headshot_percentage': '42%', 'clutch_success_percentage': '25%'}","['jett', 'reyna']",vct-game-changer
dodonut,FLY.R,1.24,Americas,"{'average_combat_score': '261.2', 'kill_deaths': '1.33', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '169.0', 'kills_per_round': '0.91', 'assists_per_round': '0.23', 'first_kills_per_round': '0.20', 'first_deaths_per_round': '0.15', 'headshot_percentage': '24%', 'clutch_success_percentage': '17%'}","['raze', 'jett', 'sage']",vct-game-changer
Fall,38,1.23,Americas,"{'average_combat_score': '272.5', 'kill_deaths': '1.13', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '167.3', 'kills_per_round': '0.92', 'assists_per_round': '0.39', 'first_kills_per_round': '0.08', 'first_deaths_per_round': '0.03', 'headshot_percentage': '16%', 'clutch_success_percentage': '11%'}","['fade', 'skye']",vct-game-changer
danbi,46,1.18,Americas,"{'average_combat_score': '257.5', 'kill_deaths': '1.18', 'kill_assists_survived_traded': '67%', 'average_damage_per_round': '163.3', 'kills_per_round': '0.87', 'assists_per_round': '0.22', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.11', 'headshot_percentage': '17%', 'clutch_success_percentage': '25%'}","['clove', 'killjoy']",vct-game-changer
BLOOM,Psyc,1.18,Americas,"{'average_combat_score': '225.5', 'kill_deaths': '1.14', 'kill_assists_survived_traded': '60%', 'average_damage_per_round': '130.2', 'kills_per_round': '0.83', 'assists_per_round': '0.28', 'first_kills_per_round': '0.05', 'first_deaths_per_round': '0.08', 'headshot_percentage': '28%', 'clutch_success_percentage': '25%'}","['omen', 'viper']",vct-game-changer
tina,37,1.18,Americas,"{'average_combat_score': '220.5', 'kill_deaths': '1.12', 'kill_assists_survived_traded': '81%', 'average_damage_per_round': '135.1', 'kills_per_round': '0.78', 'assists_per_round': '0.35', 'first_kills_per_round': '0.08', 'first_deaths_per_round': '0.05', 'headshot_percentage': '28%', 'clutch_success_percentage': '9%'}","['astra', 'clove']",vct-game-changer
